,Sentiment,Tweet
0,neutral,  amsterdam ewr  
1,negative, ITproblems link 
2,positive, today staff  MSP took customer service new level My father passed away last night  helped get home today Thanks
3,negative, yet receive assistance one agents securing new connection Many miss work tomorrow
4,negative, let change reservation online Im wasting time 
5,neutral, I look cabin crew vacancies
6,neutral, please update going happen passengers flt ua Cancelled Flightled
7,negative, I redeem travel voucher flight I cant reach travel agent phone My hold expires  hours
8,neutral, originating SFO going LAX
9,negative, Good perspective If safety concern expressed point I arrived airport 
10,neutral,Welllllll RT  Our fleets fleek 
11,neutral,  upgrades
12,negative, flight  I paid  wifi cant load website functionally except live streaming Unacceptable
13,negative, absolutely worries Im never flying again Ever Even I hitch hike cross country 
14,negative, I concerned I fly plane needs delayed due tech stop
15,neutral,  sitting seat D flight back Vegas Chicago Someone left folder looks important seat pocket 
16,negative, I cant make changes website I still charged  dollars using phone
17,neutral, wall separating row   
18,negative, people counter helpful As see nobody there Flight Austin  still sitting here
19,neutral,STAHP RT  Our fleets fleek 
20,negative,  cruel  unusual Cancelled Flight flight wo notice  make someone stay hold min  listen ad loop
21,positive, rules
22,positive,Keep  
23,neutral, friend
24,neutral, Alright I hope My JetBlue app showing change seats online shows a Dont want surprises
25,positive,First base already I like style 
26,positive, YOU ARE AMAZING YOU ARE THE BEST FOLLOW ME PLEASE
27,negative, Otis baggage claim Bay  happy nearly pissed
28,negative, My contact stuff bag Im legally blind This messed up
29,negative, trying get partner PNR spent  hour hold I know snowing somewhere awful
30,positive, sale Im delighted
31,negative, making miss big snow Montana Not cool
32,neutral, Thats I planned Boston traffic due recent weather insane If I expedited I would made it
33,negative,  Just make sure remember load bags onto plane They Cancelled Flight flight forget
34,neutral, Im resending confirmation code DM
35,negative, guy flight  follows threat sue couldnt carry  bags I defend free
36,neutral, I in lets this
37,positive, thanks reply On good note pilot nailed landing Seriously Kudos
38,neutral, Flight  CMH ORD arrived gate Next segment YVR already boarding Will hold it
39,positive, give recognition deserves
40,neutral, Looking forward friends family time Arizona
41,negative, checkin system 
42,negative, hour holding change flight phone now Whats that
43,positive, great return calls day after Couldnt ask more 
44,negative, needknow Ill able reach IND todayRather stay MAF fly DFW  find I cant travel 
45,neutral, additional charge golf bag clubs  shoes golf balls thats piece luggage check
46,negative,  I Platinum I flying USAir stranded CLT Not answering phones Did rebook me Please help
47,negative, second flight I put Cancelled Flightled explanation Missed first meeting
48,negative, oh I got right agent They kept putting hold still fix problem
49,negative,  Thanks including us tour Did pack winter coatUnfortunately yes 
50,neutral, Can help Left blazer in Kooples jacket bag rd row second seat right gate  T lax Flight sfo
51,negative, disgusting chicken entree Ive ever seen Your standards seriously nosedived  
52,positive, beautiful day Seattle 
53,negative, Cancelled Flightling flights sending tickets telling buyer  allowed
54,negative, headed NYC CLT Funny hear phones ring entire plane groan has happened twice more
55,neutral, ever looking interns 
56,negative, sorry I trying  add day  vacation  charge  change flights
57,negative, My wife flight changes due weather cant checkin return flight fails Is possible usair Cancelled Flightled
58,neutral, set schedule try keep   Flight
59,negative, even legal guys advertise flights cant honor
60,negative, waiting new pilot door plane BROKE I global services status airline thats unsafe STUNNING
61,negative,  hrs counting today alone like I things accomplish today keep holding
62,neutral,  thousand fans  asking give utmost effort get safe flight baggage soon
63,neutral, chances flight leaving BNA tomorrow  to LGA
64,negative, Please update website
65,negative, help Flight Dallas Cancelled Flightled morning cle hold  hours Need booked next flight out
66,negative, This address issue I hold  min speak agent
67,negative, booked first class curbside delivery  hours now Im counting it 
68,neutral, hi I bought flight united ebokeers Paris Miami Do I chance check everything ok
69,negative, agent help me My point theres problem  I want mess somebody elses plans Can u flow tech team pls
70,negative, Not sure talking about She going nonstop flights SNA SFO SFO EWR
71,negative, You give us hotel food Can least suggestion options making metro city I ticket to
72,neutral, Hi Thanks Do exact link specific page site share  Flight Status Thx
73,negative, Flight  ORD let know this Found via app minutes landing Awful flight 
74,positive, refunded us vacation get free room night make making us sleep DIA
75,neutral, My chariot tonight From angle looks like  no 
76,negative,  hey since f wknd I day pass admirals club meal coupon free coke blank stare
77,neutral, whats deal Do u provide voucher overnight I cozy floor     
78,positive, Fabulous  thank much Looking forward taking skies you 
79,negative, tell staff LAX then I boarded group  end queue Gold member Thanks nothing
80,neutral,  progress Good luck Patrick
81,neutral, Already rebooked tomorrow Fingers crossed
82,negative, and work
83,negative, empty help desks
84,negative, according jfk plenty planes landing No problem
85,neutral,  KP I traveling  trying cheer Ms Bila
86,negative,  Any updates It take hours assistance I love 
87,positive, guys amazing sending people meet Imagine Dragons 
88,negative, thank dishonoring upgrade putting seat I want even notifying me Great K service
89,negative,  hours counting waiting get gate Philadelphia Just icing cake miserable flight experience
90,negative, hope nicer flight time try things right You sold tickets connetion
91,positive, fantastic thanks Will try tweet photo view 
92,neutral, Is guarantee Well see tomorrow morning I fight seat
93,negative, duh baggage claim  hours counting  Flights    
94,negative, since I international connection am Im hoping thing
95,negative, Such deodorant shoo toothpaste Seems like would limited oz correct
96,negative, Have hold reschedule flight  hours Please help Phone batteries soon
97,negative, airlines st  time I ever fly airline What disgrace NFL I listened tweet 
98,negative,  working me Tight cx  theyre delaying flight Twice In  secs  
99,neutral, Need change flight Tuesday sooner attend ailing parent FL Need help 
100,negative, I always brag ur service disappointed today Apparently Ill sleeping floor Dallas airport tonight
101,negative, sev ppl im office received apology k FF miles delay apologize select ppl I got nothing
102,positive, free booze Bach party would make better ORDgtMSY   We enjoy either way Thanks
103,positive, I really appreciate alls  commercial aired today s 
104,positive, thanks Delivery status
105,negative, hold hr min Not willing hang long   answered  min U  yet
106,negative, amazing cant get cold air vents     
107,neutral, runways DFW Will flying Late Flightr today Thanks
108,negative, This nd time I rebooked wdelays reasons unreLate Flightd weather How I go requesting flight voucher
109,negative, splitting flights quadruples price
110,negative, todays flight Philadelphia Its little disappointing unnecessary delays even snowing FL
111,neutral, get status update flight  Are going make home tonight
112,negative, one staff desk Now queuing hr
113,positive, Ill check I get airport Thanks
114,negative, I know cant control weather control treat customers
115,negative, you  hrs hanging there Oh I understand things get crazy n sometimes  hours long enough
116,negative, happening  also Marie Burroughs worst customer service rep ever 
117,positive, nope Even better  seats And due WB first raise hands got move up I fast enough
118,negative, incapable seating yo mom together Toddler row  
119,positive, I love travel planes people nice amazing Can please follow back I love company
120,negative, Asked Flight attendant typical compensation would  says might get free TV 
121,negative, Im minor freaking bc I might make connecting flight Hawaii yes Im frustrated
122,negative,  minutes holding Seriously average wait time  minutes maybe maybe understaffed
123,negative, No thanks Im sick companys lousy excuse customer service Im never flying United again
124,positive, thank you
125,negative, Just checking  status claim It going  months attention this We upset
126,negative, least explanation one told flight Cancelled Flightled
127,negative,   Utterly frustrated  hours hold call disconnected I need amend Flight Booking Problems HELP OW Emerald
128,negative, guys suck JFK tonight  oh MORNING
129,positive, loving boarding go Chicago 
130,negative, nd time  days flight delayed gate agent said anything Thanks memories 
131,negative, I made feel like criminal I want sit near  year old flight  
132,negative, compensates delays caused fact enough flight attendants 
133,negative, always happy start life new wife  hr travel delay due MAINTENECE would appear incompetence
134,positive, got pm Newark home LA Your folks EWR incredible 
135,negative, everyones flights Cancelled Flightled today DESERVE 
136,negative, flight rebooked want change seats upgrade st class Can help Phones down
137,negative, charging  NOT take flight Lol That last time I fly them
138,negative, even I simple google search flight number tells gate difficult sure 
139,negative, Cant leave Tarmac uniteds gate agent cannot agree head count  min counting  people max 
140,negative, bag days Late Flight like rd time past couple months Where free miles at
141,positive, Jason  Gate  SAN made afternoon   
142,neutral, lemme come  university student could use break books
143,negative, please allow speak someone A dialogue would solve issue better faster emailing
144,neutral, Thanks Lindsey Any idea Ill get there Stuck Denver told listen intercom better
145,negative, send luggage house
146,neutral, would love win tickets take son Imagine Dragons Provo Saturday night Crossed fingers 
147,negative, I called  weeks ago adding  flights  Elevatethey still shown uphelp
148,negative,  Id happy hold phone phone system allowing simply hangs up
149,positive, Thx quick response  yep I tried cant find flight I Input Confirmation 
150,negative, pretty upset I drove Philly MHtT still info bags Whats deal
151,negative, I would way wether delayed yet again Love Charlotte ice storm Good luck mad customers
152,negative, BosSF waivers Business Cancelled Flighted due weather beforeafter No flexibilitycompassion extreme circumstances 
153,negative, enough already poor service old planes ridiculous routing k time find new airline status match
154,negative, Im sick yall
155,negative, I say JetBlue officially lost customer What waste points I too I yet flight
156,negative, Noooo Why previously direct flight FLLgtSFO diverted LAS Now arriving almost  hrs Late Flightr
157,negative,   days Cancelled Flightations I driven  airports  different states spent gas flight
158,neutral,YO   give  plane back Theyre mad  threatening take away Companion Pass 
159,negative,   planes passengers boarding Premier groups might indication broken process
160,positive, Im glad  retweeted otherwise would ignore numerous tweets I sent You fucking amazing
161,negative,s CEO battles appease passengers Wall Street  Waterbury Republican American 
162,negative, I loyal Premier Platinum member lack communication really bad Also dont see taken yet
163,negative, My flight KC Cancelled Flighted next available till Tuesday What I supposed  nights
164,negative, They stand alone me I bought tix based USAir confirmed flight What good confirmation change anyway
165,neutral, tremendous What would recommend
166,negative, done that Sadly flight CLT gotten IND today head back Ta tmrw
167,positive, I would love go Atlanta show
168,positive, No worries Delay minor dealt nicely It captain flight  way
169,neutral, post travel alerts website Traveling Bdl Sunday morning
170,negative, fuck caring
171,negative, poor customer service thru cxl flights I flew 
172,positive, thank much helps lot
173,negative, Not good On hold hour 
174,negative, would let us switch different set flights could spend time family passes away
175,neutral, Lindsay  Darn Terrible memory part I know headed back IAD PIT tonight
176,negative, I understand everyone said different things flight Late Flightr night one us got take
177,negative, legs I damaged seat u damaged expensive case offered anythingJust apology wks Late Flightr
178,negative, As member news media awful service last days go unnoticed
179,positive, guys held flight  Thank you About take MDW Oakland Thanks
180,negative, ridiculous  hours coming waiting deplane newborns board
181,negative, yes supposed PM I Board Meeting tomorrow Fingers crossed
182,negative, know Finally lined like cattle board SW flight after original departure time 
183,negative, far I getting maybe bag come today We know Website says status unknown help
184,negative, Only JFK baggage office open help rebook us Cancelled Flightled flight  DCA Shameful
185,neutral, forelock guarantee fare fare  seats
186,negative, I expect something telling see agent rebook flight
187,neutral, release flights February 
188,neutral, Pick
189,negative, sits throne lies
190,negative, I know I wanted pass along Not good T experience esp someone flies  times month
191,neutral, guys wifi international flights
192,negative, Cant beat storm town wait issue policy Late Flight NWS issued storm warning already
193,negative, OK I guess weather rough I trying sort missing airmiles days Any suggestions
194,negative, better time call My flight Friday I need change it Worried I may hold then
195,negative, continuing record never flight leave time Add much time family cost me 
196,neutral, flight  tomorrow  am status please thanks
197,neutral, Can I book award travel Etihad Dividend Miles
198,negative, sitting plane JFK waiting take doors open catering stocking delayed nicer
199,positive, I will Thanks
200,positive, finally got through Thanks
201,neutral, followed  DMd
202,negative, ruined Sunday  hours delays DIA bags wrong airport  deliver them Insult injury
203,positive, pilot Dont worry folks theres backup backup every part plane Thanks guy
204,negative, sufficiently sorry actually do anything it I guess Your systems presumably beyond reproach reform
205,neutral, Will definitely so Sending DM now
206,negative, Headphone jack working flight
207,negative, wasted day vacation problems one two planes  
208,negative, sorry I hate united get see family Thursday
209,neutral, imma need hook tho
210,neutral, Our fleets fleek  r u serious
211,negative,I need place sleep I land without accommodations PLS 
212,negative, lots reports system failures delaying flights last week Currently sitting tarmac OGG hour
213,positive, also appreciated hashtag  
214,positive, MDW  SAN flt  attendant Melissa awesome Fast smiling great After weather Cancelled Flight day b welcome
215,neutral,s CEO battles appease passengers Wall Street  Waterbury Republican American 
216,negative, joke Hang customers
217,negative, Stuck plane JFK food plane need wait crew push back plane Good job AA
218,negative,Nice try  I heard crew whisper shes still hotel probably think work tomorrow
219,neutral, Oh trust me I love It beautiful
220,positive,  Denver AP gate B destination Santa Fe agent Ashley amazing job face angry traveler Kudos
221,negative, Cancelled Flightled flight twelve hours Maybe well heard AA rep point
222,negative, seems unlikely without crew board us
223,negative, board movement  minwow experience keeps getting worse worse
224,neutral, resource check delaysCancelled Flightlations Love Field Flying tomorrow stressed weather
225,negative, dont believe it impossible agents get update delivery company since yesterday 
226,negative, I mind waiting I mind waiting plane I to The airport room know food
227,neutral, come cheaper fly BKK NRT even though get BKK take extra flight NRT
228,negative, AN HOUR DELAY BECAUSE YOU CANT PRINT A PIECE OF PAPER
229,positive,  well go
230,positive, thanks getting us ur plane Awesome flight attendant making us smile difficult travel 
231,neutral, actually flight  
232,negative, No Meelan afford supervisor included conversation pls check rec call 
233,negative, Yes Dale Baggage office wonderful But everyone page there We  hour wait
234,negative, hold foreverrrrrr
235,neutral,   Julie Andrews Hands down
236,negative, even running gate connecting flight customer service let us plane parked Stranded
237,neutral, yea worries Im going home Denver Not fault weather sucks bad
238,negative, comes one answered calls emails
239,negative, I miss whole days worth work tomorrow Im suree guys care
240,negative, Requiring customers fill contact information time seems designed prevent limit interaction
241,negative, whats random delay flight  Any chance false alarm
242,negative, unacceptable   min Late Flight missing screw flight Tucson left even landed
243,neutral, one yet some fl 
244,neutral, Can check status EXP membership card Need physical card access international lounges soon
245,positive, know it Need spotify stat 
246,neutral, Do sort live chat feature Were UK right call would cost us alot 
247,negative, Im extremely disappointed w service trip   Explorer Card holder
248,negative, Customer service provides wiggle room change flight without  change fee  always accommodating
249,negative,  Premier provider missed connections 
250,neutral, Its  We boarded waiting take off hopefully
251,negative, suffering immensely ever since merge  Hopefully Ill never fly  ever 
252,positive, Even though flight  much needed hot beverages  us NYers landing super smooth 
253,negative, Useless response I need functioning wheelchair customer care form fill out
254,negative,  United coupon make broken entertainment system hour flight seriously  
255,negative, Issue JFK Pilot explained JFK reopens get scheduled back there cant divert LGA Closer ACY
256,positive, truly best  If something goes wrong matter big small issue was fix it Thank
257,negative, guys switched inform chathes
258,negative, Ugh My bags sent Palm Springs LAX promised They better hotel I get there
259,positive, gate agent Jan L Phoenix least able get younger daughter seated near wife Thank you
260,positive, Airways Reveals Bluemanity Livery  TravelPulse 
261,negative, everything fine lost bag
262,neutral, please see dm
263,negative, It full I plenty time go gate check plus status I gotten on
264,positive, captain flight  PHXPHL  tonight hilarious Greetings pointy end airplane haha thanks
265,negative, might urgent really me 
266,neutral, start Flight Booking Problems flights November
267,negative,  stuck runway again Delayed Wednesday Not good way take care loyal customers
268,negative, Mistake multibillion dollar company
269,neutral, Our fleets fleek  lets keep professional
270,negative, calling am tell flight rescheduled  hours Late Flightr supposed seems like bad solution
271,neutral, Of course thats companies job You guys failed first place Upgrade well talk
272,neutral, Tell  Because I need  way NYC I might choose
273,negative, Hands worst airline travel with Really really fucking bad
274,negative, coming from I thought Ta
275,negative,lt lt RT   Sorry hear WiFi connection Dani Please DM us conf  help you Thanks
276,negative, I still airport waiting flight
277,negative,  minutes since landing  flight  Miami luggage whats delay
278,negative, Our newest delay right 
279,negative, standby far two us With snow storm hitting Iowa tomorrow could stuck two days
280,neutral,  both
281,positive, luckily people working BSO Chicago Midway attentive found bags Punta Cana
282,neutral, Thank you The email RR pts  gain clear mine r gone Anything u appreciated
283,negative, Cancelled Flightled flights refused give voucher despite flights days  
284,negative, flight  atl lga Cancelled Flightled suggestions get home
285,negative, Has departed I awaiting inbound plane yesterday three hours never arrived Had stay overnight again
286,positive, ok thanks
287,negative, Another delayed United flight I surprised upset Im mostly disappointed I Cancelled Flight trip dad
288,negative, How considered on time arriving destination half hour Late Flightr scheduled 
289,neutral, flt  two updates last  minutes
290,negative, nice try gate making traveler traveler put bags size guide oversold Sorry 
291,positive, My  affects one small family four would make huge difference life
292,negative,  horrible customer service Empty seats early flight wantcharge double get home early instead usual Late Flight
293,negative, Had pay  fare difference change cant seem find receipt it How I get copy reimbursement
294,negative, moms flight tomorrow Cancelled Flighted w notice Phone system said callback  hours  I need go bed
